频率,幅度1,幅度2,幅度3,幅度4,幅度5,幅度6
8500,1,2,3,4,5,6
8600,1,2,3,4,5,6
8700,1,2,3,4,5,6
8800,1,2,3,4,5,6
8900,1,2,3,4,5,6
9000,1,2,3,4,5,6
9100,1,2,3,4,5,6
9200,1,2,3,4,5,6
9300,1,2,3,4,5,6
9400,1,2,3,4,5,6
9500,1,2,3,4,5,6
9600,1,2,3,4,5,6
9700,1,2,3,4,5,6
9800,1,2,3,4,5,6
9900,1,2,3,4,5,6
10000,1,2,3,4,5,6
10100,1,2,3,4,5,6
10200,1,2,3,4,5,6
10300,1,2,3,4,5,6
10400,1,2,3,4,5,6
10500,1,2,3,4,5,6
10600,1,2,3,4,5,6
10700,1,2,3,4,5,6
10800,1,2,3,4,5,6
10900,1,2,3,4,5,6
11000,1,2,3,4,5,6
11100,1,2,3,4,5,6
11200,1,2,3,4,5,6
11300,1,2,3,4,5,6
11400,1,2,3,4,5,6
11500,1,2,3,4,5,6
11600,1,2,3,4,5,6
11700,1,2,3,4,5,6
11800,1,2,3,4,5,6
11900,1,2,3,4,5,6
12000,1,2,3,4,5,6
12100,1,2,3,4,5,6
12200,1,2,3,4,5,6
12300,1,2,3,4,5,6
12400,1,2,3,4,5,6
12500,1,2,3,4,5,6
12600,1,2,3,4,5,6
12700,1,2,3,4,5,6
12800,1,2,3,4,5,6
12900,1,2,3,4,5,6
13000,1,2,3,4,5,6
13100,1,2,3,4,5,6
13200,1,2,3,4,5,6
13300,1,2,3,4,5,6
13400,1,2,3,4,5,6
13500,1,2,3,4,5,6
13600,1,2,3,4,5,6
13700,1,2,3,4,5,6
13800,1,2,3,4,5,6
13900,1,2,3,4,5,6
14000,1,2,3,4,5,6
14100,1,2,3,4,5,6
14200,1,2,3,4,5,6
14300,1,2,3,4,5,6
14400,1,2,3,4,5,6
14500,1,2,3,4,5,6
14600,1,2,3,4,5,6
14700,1,2,3,4,5,6
14800,1,2,3,4,5,6
14900,1,2,3,4,5,6
15000,1,2,3,4,5,6
15100,1,2,3,4,5,6
15200,1,2,3,4,5,6
15300,1,2,3,4,5,6
15400,1,2,3,4,5,6
15500,1,2,3,4,5,6
15600,1,2,3,4,5,6
15700,1,2,3,4,5,6
15800,1,2,3,4,5,6
15900,1,2,3,4,5,6
16000,1,2,3,4,5,6
16100,1,2,3,4,5,6
16200,1,2,3,4,5,6
16300,1,2,3,4,5,6
16400,1,2,3,4,5,6
16500,1,2,3,4,5,6
16600,1,2,3,4,5,6
16700,1,2,3,4,5,6
16800,1,2,3,4,5,6
16900,1,2,3,4,5,6
17000,1,2,3,4,5,6
17100,1,2,3,4,5,6
17200,1,2,3,4,5,6
17300,1,2,3,4,5,6
17400,1,2,3,4,5,6
17500,1,2,3,4,5,6
17600,1,2,3,4,5,6
17700,1,2,3,4,5,6
17800,1,2,3,4,5,6
17900,1,2,3,4,5,6
18000,1,2,3,4,5,6
18100,1,2,3,4,5,6
18200,1,2,3,4,5,6
18300,1,2,3,4,5,6
18400,1,2,3,4,5,6
18500,1,2,3,4,5,6
18600,1,2,3,4,5,6
18700,1,2,3,4,5,6
18800,1,2,3,4,5,6
18900,1,2,3,4,5,6
19000,1,2,3,4,5,6
19100,1,2,3,4,5,6
19200,1,2,3,4,5,6
19300,1,2,3,4,5,6
19400,1,2,3,4,5,6
19500,1,2,3,4,5,6
19600,1,2,3,4,5,6
19700,1,2,3,4,5,6
19800,1,2,3,4,5,6
19900,1,2,3,4,5,6
20000,1,2,3,4,5,6
20100,1,2,3,4,5,6
20200,1,2,3,4,5,6
20300,1,2,3,4,5,6
20400,1,2,3,4,5,6
20500,1,2,3,4,5,6
20600,1,2,3,4,5,6
20700,1,2,3,4,5,6
20800,1,2,3,4,5,6
20900,1,2,3,4,5,6
21000,1,2,3,4,5,6
21100,1,2,3,4,5,6
21200,1,2,3,4,5,6
21300,1,2,3,4,5,6
21400,1,2,3,4,5,6
21500,1,2,3,4,5,6
21600,1,2,3,4,5,6
21700,1,2,3,4,5,6
21800,1,2,3,4,5,6
21900,1,2,3,4,5,6
22000,1,2,3,4,5,6
22100,1,2,3,4,5,6
22200,1,2,3,4,5,6
22300,1,2,3,4,5,6
22400,1,2,3,4,5,6
22500,1,2,3,4,5,6
22600,1,2,3,4,5,6
22700,1,2,3,4,5,6
22800,1,2,3,4,5,6
22900,1,2,3,4,5,6
23000,1,2,3,4,5,6
23100,1,2,3,4,5,6
23200,1,2,3,4,5,6
23300,1,2,3,4,5,6
23400,1,2,3,4,5,6
23500,1,2,3,4,5,6
23600,1,2,3,4,5,6
23700,1,2,3,4,5,6
23800,1,2,3,4,5,6
23900,1,2,3,4,5,6
24000,1,2,3,4,5,6
24100,1,2,3,4,5,6
24200,1,2,3,4,5,6
24300,1,2,3,4,5,6
24400,1,2,3,4,5,6
24500,1,2,3,4,5,6
24600,1,2,3,4,5,6
24700,1,2,3,4,5,6
24800,1,2,3,4,5,6
24900,1,2,3,4,5,6
25000,1,2,3,4,5,6
25100,1,2,3,4,5,6
25200,1,2,3,4,5,6
25300,1,2,3,4,5,6
25400,1,2,3,4,5,6
25500,1,2,3,4,5,6
25600,1,2,3,4,5,6
25700,1,2,3,4,5,6
25800,1,2,3,4,5,6
25900,1,2,3,4,5,6
26000,1,2,3,4,5,6
26100,1,2,3,4,5,6
26200,1,2,3,4,5,6
26300,1,2,3,4,5,6
26400,1,2,3,4,5,6
26500,1,2,3,4,5,6
26600,1,2,3,4,5,6
26700,1,2,3,4,5,6
26800,1,2,3,4,5,6
26900,1,2,3,4,5,6
27000,1,2,3,4,5,6
27100,1,2,3,4,5,6
27200,1,2,3,4,5,6
27300,1,2,3,4,5,6
27400,1,2,3,4,5,6
27500,1,2,3,4,5,6
27600,1,2,3,4,5,6
27700,1,2,3,4,5,6
27800,1,2,3,4,5,6
27900,1,2,3,4,5,6
28000,1,2,3,4,5,6
28100,1,2,3,4,5,6
28200,1,2,3,4,5,6
28300,1,2,3,4,5,6
28400,1,2,3,4,5,6
28500,1,2,3,4,5,6
28600,1,2,3,4,5,6
28700,1,2,3,4,5,6
28800,1,2,3,4,5,6
28900,1,2,3,4,5,6
29000,1,2,3,4,5,6
29100,1,2,3,4,5,6
29200,1,2,3,4,5,6
29300,1,2,3,4,5,6
29400,1,2,3,4,5,6
29500,1,2,3,4,5,6
29600,1,2,3,4,5,6
29700,1,2,3,4,5,6
29800,1,2,3,4,5,6
29900,1,2,3,4,5,6
30000,1,2,3,4,5,6
30100,1,2,3,4,5,6
30200,1,2,3,4,5,6
30300,1,2,3,4,5,6
30400,1,2,3,4,5,6
30500,1,2,3,4,5,6
30600,1,2,3,4,5,6
30700,1,2,3,4,5,6
30800,1,2,3,4,5,6
30900,1,2,3,4,5,6
31000,1,2,3,4,5,6
31100,1,2,3,4,5,6
31200,1,2,3,4,5,6
31300,1,2,3,4,5,6
31400,1,2,3,4,5,6
31500,1,2,3,4,5,6
31600,1,2,3,4,5,6
31700,1,2,3,4,5,6
31800,1,2,3,4,5,6
31900,1,2,3,4,5,6
32000,1,2,3,4,5,6
32100,1,2,3,4,5,6
32200,1,2,3,4,5,6
32300,1,2,3,4,5,6
32400,1,2,3,4,5,6
32500,1,2,3,4,5,6
32600,1,2,3,4,5,6
32700,1,2,3,4,5,6
32800,1,2,3,4,5,6
32900,1,2,3,4,5,6
33000,1,2,3,4,5,6
33100,1,2,3,4,5,6
33200,1,2,3,4,5,6
33300,1,2,3,4,5,6
33400,1,2,3,4,5,6
33500,1,2,3,4,5,6
33600,1,2,3,4,5,6
33700,1,2,3,4,5,6
33800,1,2,3,4,5,6
33900,1,2,3,4,5,6
34000,1,2,3,4,5,6
34100,1,2,3,4,5,6
34200,1,2,3,4,5,6
34300,1,2,3,4,5,6
34400,1,2,3,4,5,6
34500,1,2,3,4,5,6
34600,1,2,3,4,5,6
34700,1,2,3,4,5,6
34800,1,2,3,4,5,6
34900,1,2,3,4,5,6
35000,1,2,3,4,5,6
35100,1,2,3,4,5,6
35200,1,2,3,4,5,6
35300,1,2,3,4,5,6
35400,1,2,3,4,5,6
35500,1,2,3,4,5,6
35600,1,2,3,4,5,6
35700,1,2,3,4,5,6
35800,1,2,3,4,5,6
35900,1,2,3,4,5,6
36000,1,2,3,4,5,6
36100,1,2,3,4,5,6
36200,1,2,3,4,5,6
36300,1,2,3,4,5,6
36400,1,2,3,4,5,6
36500,1,2,3,4,5,6
36600,1,2,3,4,5,6
36700,1,2,3,4,5,6
36800,1,2,3,4,5,6
36900,1,2,3,4,5,6
37000,1,2,3,4,5,6
37100,1,2,3,4,5,6
37200,1,2,3,4,5,6
37300,1,2,3,4,5,6
37400,1,2,3,4,5,6
37500,1,2,3,4,5,6
37600,1,2,3,4,5,6
37700,1,2,3,4,5,6
37800,1,2,3,4,5,6
37900,1,2,3,4,5,6
38000,1,2,3,4,5,6
38100,1,2,3,4,5,6
38200,1,2,3,4,5,6
38300,1,2,3,4,5,6
38400,1,2,3,4,5,6
38500,1,2,3,4,5,6
38600,1,2,3,4,5,6
38700,1,2,3,4,5,6
38800,1,2,3,4,5,6
38900,1,2,3,4,5,6
39000,1,2,3,4,5,6
39100,1,2,3,4,5,6
39200,1,2,3,4,5,6
39300,1,2,3,4,5,6
39400,1,2,3,4,5,6
39500,1,2,3,4,5,6
39600,1,2,3,4,5,6
39700,1,2,3,4,5,6
39800,1,2,3,4,5,6
39900,1,2,3,4,5,6
40000,1,2,3,4,5,6
40100,1,2,3,4,5,6
40200,1,2,3,4,5,6
40300,1,2,3,4,5,6
40400,1,2,3,4,5,6
40500,1,2,3,4,5,6
40600,1,2,3,4,5,6
40700,1,2,3,4,5,6
40800,1,2,3,4,5,6
40900,1,2,3,4,5,6
41000,1,2,3,4,5,6
41100,1,2,3,4,5,6
41200,1,2,3,4,5,6
41300,1,2,3,4,5,6
41400,1,2,3,4,5,6
41500,1,2,3,4,5,6
41600,1,2,3,4,5,6
41700,1,2,3,4,5,6
41800,1,2,3,4,5,6
41900,1,2,3,4,5,6
42000,1,2,3,4,5,6
42100,1,2,3,4,5,6
42200,1,2,3,4,5,6
42300,1,2,3,4,5,6
42400,1,2,3,4,5,6
42500,1,2,3,4,5,6
42600,1,2,3,4,5,6
42700,1,2,3,4,5,6
42800,1,2,3,4,5,6
42900,1,2,3,4,5,6
43000,1,2,3,4,5,6
43100,1,2,3,4,5,6
43200,1,2,3,4,5,6
43300,1,2,3,4,5,6
43400,1,2,3,4,5,6
43500,1,2,3,4,5,6
43600,1,2,3,4,5,6
43700,1,2,3,4,5,6
43800,1,2,3,4,5,6
43900,1,2,3,4,5,6
44000,1,2,3,4,5,6
44100,1,2,3,4,5,6
44200,1,2,3,4,5,6
44300,1,2,3,4,5,6
44400,1,2,3,4,5,6
44500,1,2,3,4,5,6
44600,1,2,3,4,5,6
44700,1,2,3,4,5,6
44800,1,2,3,4,5,6
44900,1,2,3,4,5,6
45000,1,2,3,4,5,6
45100,1,2,3,4,5,6
45200,1,2,3,4,5,6
45300,1,2,3,4,5,6
45400,1,2,3,4,5,6
45500,1,2,3,4,5,6
45600,1,2,3,4,5,6
45700,1,2,3,4,5,6
45800,1,2,3,4,5,6
45900,1,2,3,4,5,6
46000,1,2,3,4,5,6
46100,1,2,3,4,5,6
46200,1,2,3,4,5,6
46300,1,2,3,4,5,6
46400,1,2,3,4,5,6
46500,1,2,3,4,5,6
46600,1,2,3,4,5,6
46700,1,2,3,4,5,6
46800,1,2,3,4,5,6
46900,1,2,3,4,5,6
47000,1,2,3,4,5,6
47100,1,2,3,4,5,6
47200,1,2,3,4,5,6
47300,1,2,3,4,5,6
47400,1,2,3,4,5,6
47500,1,2,3,4,5,6
47600,1,2,3,4,5,6
47700,1,2,3,4,5,6
47800,1,2,3,4,5,6
47900,1,2,3,4,5,6
48000,1,2,3,4,5,6
48100,1,2,3,4,5,6
48200,1,2,3,4,5,6
48300,1,2,3,4,5,6
48400,1,2,3,4,5,6
48500,1,2,3,4,5,6
48600,1,2,3,4,5,6
48700,1,2,3,4,5,6
48800,1,2,3,4,5,6
48900,1,2,3,4,5,6
49000,1,2,3,4,5,6
49100,1,2,3,4,5,6
49200,1,2,3,4,5,6
49300,1,2,3,4,5,6
49400,1,2,3,4,5,6
49500,1,2,3,4,5,6
49600,1,2,3,4,5,6
49700,1,2,3,4,5,6
49800,1,2,3,4,5,6
49900,1,2,3,4,5,6
50000,1,2,3,4,5,6
50100,1,2,3,4,5,6
50200,1,2,3,4,5,6
50300,1,2,3,4,5,6
50400,1,2,3,4,5,6
50500,1,2,3,4,5,6
50600,1,2,3,4,5,6
50700,1,2,3,4,5,6
50800,1,2,3,4,5,6
50900,1,2,3,4,5,6
51000,1,2,3,4,5,6
51100,1,2,3,4,5,6
51200,1,2,3,4,5,6
51300,1,2,3,4,5,6
51400,1,2,3,4,5,6
51500,1,2,3,4,5,6
51600,1,2,3,4,5,6
51700,1,2,3,4,5,6
51800,1,2,3,4,5,6
51900,1,2,3,4,5,6
52000,1,2,3,4,5,6
52100,1,2,3,4,5,6
52200,1,2,3,4,5,6
52300,1,2,3,4,5,6
52400,1,2,3,4,5,6
52500,1,2,3,4,5,6
52600,1,2,3,4,5,6
52700,1,2,3,4,5,6
52800,1,2,3,4,5,6
52900,1,2,3,4,5,6
53000,1,2,3,4,5,6
53100,1,2,3,4,5,6
53200,1,2,3,4,5,6
53300,1,2,3,4,5,6
53400,1,2,3,4,5,6
53500,1,2,3,4,5,6
53600,1,2,3,4,5,6
53700,1,2,3,4,5,6
53800,1,2,3,4,5,6
53900,1,2,3,4,5,6
54000,1,2,3,4,5,6
54100,1,2,3,4,5,6
54200,1,2,3,4,5,6
54300,1,2,3,4,5,6
54400,1,2,3,4,5,6
54500,1,2,3,4,5,6
54600,1,2,3,4,5,6
54700,1,2,3,4,5,6
54800,1,2,3,4,5,6
54900,1,2,3,4,5,6
55000,1,2,3,4,5,6
55100,1,2,3,4,5,6
55200,1,2,3,4,5,6
55300,1,2,3,4,5,6
55400,1,2,3,4,5,6
55500,1,2,3,4,5,6
55600,1,2,3,4,5,6
55700,1,2,3,4,5,6
55800,1,2,3,4,5,6
55900,1,2,3,4,5,6
56000,1,2,3,4,5,6
56100,1,2,3,4,5,6
56200,1,2,3,4,5,6
56300,1,2,3,4,5,6
56400,1,2,3,4,5,6
56500,1,2,3,4,5,6
56600,1,2,3,4,5,6
56700,1,2,3,4,5,6
56800,1,2,3,4,5,6
56900,1,2,3,4,5,6
57000,1,2,3,4,5,6
57100,1,2,3,4,5,6
57200,1,2,3,4,5,6
57300,1,2,3,4,5,6
57400,1,2,3,4,5,6
57500,1,2,3,4,5,6
57600,1,2,3,4,5,6
57700,1,2,3,4,5,6
57800,1,2,3,4,5,6
57900,1,2,3,4,5,6
58000,1,2,3,4,5,6
58100,1,2,3,4,5,6
58200,1,2,3,4,5,6
58300,1,2,3,4,5,6
58400,1,2,3,4,5,6
58500,1,2,3,4,5,6
58600,1,2,3,4,5,6
58700,1,2,3,4,5,6
58800,1,2,3,4,5,6
58900,1,2,3,4,5,6
59000,1,2,3,4,5,6
59100,1,2,3,4,5,6
59200,1,2,3,4,5,6
59300,1,2,3,4,5,6
59400,1,2,3,4,5,6
59500,1,2,3,4,5,6
59600,1,2,3,4,5,6
59700,1,2,3,4,5,6
59800,1,2,3,4,5,6
59900,1,2,3,4,5,6
60000,1,2,3,4,5,6
60100,1,2,3,4,5,6
60200,1,2,3,4,5,6
60300,1,2,3,4,5,6
60400,1,2,3,4,5,6
60500,1,2,3,4,5,6
60600,1,2,3,4,5,6
60700,1,2,3,4,5,6
60800,1,2,3,4,5,6
60900,1,2,3,4,5,6
61000,1,2,3,4,5,6
61100,1,2,3,4,5,6
61200,1,2,3,4,5,6
61300,1,2,3,4,5,6
61400,1,2,3,4,5,6
61500,1,2,3,4,5,6
61600,1,2,3,4,5,6
61700,1,2,3,4,5,6
61800,1,2,3,4,5,6
61900,1,2,3,4,5,6
62000,1,2,3,4,5,6
62100,1,2,3,4,5,6
62200,1,2,3,4,5,6
62300,1,2,3,4,5,6
62400,1,2,3,4,5,6
62500,1,2,3,4,5,6
62600,1,2,3,4,5,6
62700,1,2,3,4,5,6
62800,1,2,3,4,5,6
62900,1,2,3,4,5,6
63000,1,2,3,4,5,6
63100,1,2,3,4,5,6
63200,1,2,3,4,5,6
63300,1,2,3,4,5,6
63400,1,2,3,4,5,6
63500,1,2,3,4,5,6
63600,1,2,3,4,5,6
63700,1,2,3,4,5,6
63800,1,2,3,4,5,6
63900,1,2,3,4,5,6
64000,1,2,3,4,5,6
64100,1,2,3,4,5,6
64200,1,2,3,4,5,6
